"","hr","hd","is.cover90.hr","is.cover95.hr","is.cover90.hd","is.cover95.hd","SCB90.hr","SCB95.hr","SCB90.hd","SCB95.hd"
"1",0.05,0.0484702382344525,0.075,0.15,0.525,0.7,0.305298845382785,0.335760317814481,0.270318175722079,0.295903318976524
"2",0.1,0.096940476468905,0.9,0.95,0.925,0.95,0.402887225826121,0.441410093865556,0.373246836459271,0.408670821577752
"3",0.15,0.145410714703358,1,1,0.95,1,0.417192002165951,0.458085681621674,0.391587067770714,0.432801332317424
"4",0.2,0.19388095293781,0.975,1,0.95,0.975,0.375297265856222,0.412125568796121,0.354329659148783,0.390189276123912
"5",0.25,0.2,0.925,1,0.925,1,0.346244705417637,0.379421347310809,0.334023999812244,0.367674125495312
"6",0.3,0.200829885024651,0.875,0.975,0.875,0.975,0.317823165909469,0.34887441437912,0.314082586614276,0.345520306638553
"7",0.35,0.246655455622271,0.9,0.95,0.9,0.975,0.280958668543504,0.309164196570774,0.281694213075224,0.309831496369768
