"","hr","coverage90","coverage95","width90","width95"
"1",0.05,0.975,1,0.580442644470176,0.666511525139385
"2",0.1,0.925,0.975,0.354490557682109,0.399551007003151
"3",0.15,0.925,0.975,0.313856512779158,0.352766938801719
"4",0.2,0.9,0.975,0.280128637021033,0.315907475460991
"5",0.25,0.875,0.95,0.250583766747701,0.283869237637324
"6",0.3,0.9,0.95,0.225387718658775,0.255415651775138
"7",0.35,0.85,0.925,0.206204008056502,0.234821939746098
