"","hr","coverage90","coverage95","width90","width95"
"1",0.05,1,1,0.542593517707588,0.617910415931005
"2",0.1,1,1,0.375372310337942,0.425953089642251
"3",0.15,0.975,0.975,0.312948164158081,0.355131337290917
"4",0.2,0.925,0.95,0.278712320707193,0.31630832207121
"5",0.25,0.875,0.95,0.25287602159737,0.288117162628865
"6",0.3,0.875,0.95,0.2296415797933,0.260625263579781
"7",0.35,0.875,0.925,0.211167948484177,0.240391990787863
