"","hr","coverage90","coverage95","width90","width95"
"1",0.05,0.975,1,0.493004608001837,0.555976379633715
"2",0.1,0.95,1,0.366383454647209,0.412914988431671
"3",0.15,0.9,0.95,0.321249477934394,0.364256503338341
"4",0.2,0.825,0.975,0.28312297068736,0.320882088823401
"5",0.25,0.875,0.95,0.252173956811171,0.285763950234784
"6",0.3,0.925,0.95,0.229336020370806,0.26012494156236
"7",0.35,0.95,0.975,0.212291172071182,0.241259132929891
