"","hr","coverage90","coverage95","width90","width95"
"1",0.05,1,1,0.589486607425594,0.673864689641107
"2",0.1,0.925,0.95,0.367370982072215,0.41439861090066
"3",0.15,0.925,0.95,0.307490795628756,0.347629288292235
"4",0.2,0.825,0.9,0.273459600410893,0.309963476649384
"5",0.25,0.8,0.85,0.24365136956111,0.275239233290824
"6",0.3,0.75,0.9,0.221682730501327,0.250823750829557
"7",0.35,0.8,0.875,0.203785232259604,0.231412344280139
