"","hr","coverage90","coverage95","width90","width95"
"1",0.05,1,1,0.540522549820214,0.614746192148963
"2",0.1,0.975,1,0.342129647324391,0.385499150140678
"3",0.15,0.925,0.95,0.298844596982732,0.339216082514445
"4",0.2,0.775,0.875,0.263498798396953,0.298302984696138
"5",0.25,0.725,0.775,0.23240957494146,0.26348376100745
"6",0.3,0.725,0.8,0.211255869869505,0.240049908461674
"7",0.35,0.7,0.8,0.19367484999737,0.220095706687503
