"","hr","hd","is.cover90.hr","is.cover95.hr","is.cover90.hd","is.cover95.hd","SCB90.hr","SCB95.hr","SCB90.hd","SCB95.hd"
"1",0.05,0.0484702382344525,0.1,0.2,0.275,0.4,0.238834684699896,0.26368947104941,0.214093313984854,0.236075798383464
"2",0.1,0.096940476468905,0.675,0.75,0.85,0.875,0.305934762504137,0.336172957613822,0.285496764977594,0.315946650535183
"3",0.15,0.145410714703358,0.775,0.95,0.8,0.95,0.317605191500808,0.351231676636808,0.294382079960702,0.327966624539608
"4",0.2,0.19388095293781,0.8,0.875,0.75,0.925,0.285767444187138,0.316812197549032,0.265791825739995,0.295830554027036
"5",0.25,0.2,0.75,0.9,0.7,0.85,0.263639301713918,0.292894950635811,0.25375697727048,0.282023091826661
"6",0.3,0.200829885024651,0.775,0.875,0.75,0.875,0.242652351953838,0.269924397059635,0.240019374444397,0.267267623124188
"7",0.35,0.246655455622271,0.75,0.875,0.75,0.875,0.216985514959704,0.24107108297613,0.217595650154013,0.241753228947947
