"","is.cover90","is.cover95","SCB90","SCB95","hr.lower","hr.opt","hr.upper"
"1",1,1,0.245040664942731,0.269783107404782,0.10204436497864,0.149397036959012,0.198593205130167
"2",1,1,0.285467326129703,0.312808273016899,0.103574682750149,0.199168737713884,0.201571426526078
"3",1,1,0.293124629498767,0.323500426663043,0.10642313125786,0.201796164575355,0.207114922425269
"4",1,1,0.282495192036436,0.311244036908371,0.0964256899172016,0.168821656452372,0.18765844465349
"5",1,1,0.257845122233474,0.282687820780008,0.114742104451042,0.202055554116099,0.223304856579612
"6",1,1,0.36480844855784,0.412206707847424,0.100406314657217,0.182654085022234,0.195405320492304
"7",1,1,0.258906412265543,0.28093745407217,0.0904263240111601,0.150388501336812,0.175982804315302
"8",1,1,0.375670455864402,0.43620157438796,0.0987310667862445,0.18615679436255,0.192145044002234
"9",1,1,0.290370304597881,0.319142980045983,0.116679785108275,0.221830711664821,0.227075865515963
"10",1,1,0.361249838179463,0.414943593480546,0.0979886228055608,0.16962969778507,0.19070013981978
"11",1,1,0.344711486281586,0.379753139926512,0.110454099545785,0.209884790009287,0.214959774144858
"12",1,1,0.309539161867104,0.342654900709126,0.105386492914614,0.158958165144167,0.205097473140449
"13",0,0,0.26903724454779,0.297466005633932,0.0923729331443751,0.159870746508279,0.179771189367056
"14",0,0,0.280251243767773,0.305324733421876,0.10753499167707,0.208073945362624,0.209278764831995
"15",1,1,0.273628440448347,0.303078944414805,0.0920560508087748,0.129592919789181,0.17915449016285
"16",1,1,0.288277485078135,0.320498698172888,0.0942312950338315,0.181374970432663,0.183387832422223
"17",1,1,0.399550603913534,0.463589890759134,0.083630084926541,0.150828321565612,0.162756332643613
"18",1,1,0.332619609454127,0.368334683894824,0.110555380609078,0.20886874378926,0.215156881853673
"19",1,1,0.369542199354959,0.41127450807734,0.101160442486749,0.168774893829471,0.196872963147299
"20",1,1,0.336683905027346,0.373381455258672,0.110348836055082,0.21091009105595,0.214754916051946
"21",1,1,0.285783716764467,0.313661667672457,0.101029503206274,0.143044524405884,0.19661813622577
"22",1,1,0.295494343553493,0.329937451303014,0.105543882927317,0.173405410509298,0.205403777041548
"23",1,1,0.341009943702968,0.374703904177557,0.0982423228182466,0.175631900293372,0.191193877016061
"24",0,1,0.299587940130971,0.330438833745746,0.117595582648459,0.212417205183163,0.228858140987946
"25",1,1,0.330058506278772,0.365480403423232,0.100449164031859,0.171971340406275,0.195488711619779
"26",1,1,0.32331444490912,0.377036905119671,0.0959624907207304,0.177721251627389,0.186756991515336
"27",1,1,0.311197889629496,0.350334534915746,0.0965300288121197,0.142205342356893,0.187861503348263
"28",1,1,0.298526282226263,0.326960208428664,0.0961576794687609,0.180656873965625,0.187136857263776
"29",1,1,0.282149230264941,0.311260094278005,0.10906409783332,0.200853025291479,0.212254628248045
"30",1,1,0.287001481805058,0.309601698566279,0.0929889860207759,0.18043024985123,0.180970118041655
"31",1,1,0.340037493352102,0.383040936614037,0.112061009208532,0.182972946947455,0.218087054522822
"32",1,1,0.31455583596683,0.34592273018631,0.113046509423224,0.20555658093884,0.220004981557139
"33",1,1,0.341989635540454,0.375725487930968,0.098767070312912,0.184340538128868,0.192215112111908
"34",1,1,0.35188999388884,0.403129440426374,0.113188853967599,0.210938647556253,0.220282004784303
"35",1,1,0.345333502564434,0.39138529875785,0.0972597373185435,0.177674865419667,0.189281622441873
"36",1,1,0.339777705090971,0.373126330163425,0.102389045841085,0.192140890141133,0.199264004318679
"37",1,1,0.341796920349728,0.387041790121511,0.0967543638006526,0.176536700293512,0.188298091928191
"38",1,1,0.299221968868853,0.335035990481288,0.0886991902959315,0.155335292323264,0.172621550411008
"39",1,1,0.303373172268723,0.333981691075007,0.102762522858659,0.192096038477845,0.199990845021525
"40",1,1,0.318730481036655,0.348855087833015,0.102331809124562,0.173763414001692,0.199152613327244
