"","hr","hd","is.cover90.hr","is.cover95.hr","is.cover90.hd","is.cover95.hd","SCB90.hr","SCB95.hr","SCB90.hd","SCB95.hd"
"1",0.05,0.0485941956670485,1,1,1,1,0.786144160539721,0.88762639598614,0.557319612923876,0.621794761859717
"2",0.1,0.097188391334097,1,1,0.975,1,0.496935931364097,0.548913161538535,0.43970421025447,0.486223895799521
"3",0.15,0.145782587001145,0.975,1,0.975,0.975,0.461679936444482,0.510270675105268,0.428473836452156,0.476187290946037
"4",0.2,0.194376782668194,1,1,0.95,1,0.410735222764553,0.452384411842801,0.383868627989021,0.425662769136006
"5",0.25,0.237126220299338,0.95,1,0.925,1,0.36486896317251,0.402233465390351,0.345655822840119,0.38370763328162
"6",0.3,0.223144316694057,0.975,1,0.925,1,0.337400857786871,0.371553877307339,0.330963958855081,0.364966471364734
"7",0.35,0.246655455622271,0.95,1,0.95,1,0.301611008424929,0.33269710499006,0.302526032452382,0.333370250042872
