"","hr","hd","coverage90","coverage95","width90","width95"
"1",0.05,0.0484702382344525,0.525,0.625,0.185534324147729,0.205618878638518
"2",0.1,0.096940476468905,0.825,0.875,0.257982260803795,0.290214989343787
"3",0.15,0.145410714703358,0.95,0.975,0.233589684176378,0.26380506841371
"4",0.2,0.19388095293781,0.95,0.975,0.209674990465521,0.237024053422745
"5",0.25,0.2,0.925,1,0.206528129577737,0.233553056794642
"6",0.3,0.200829885024651,0.925,1,0.196212222231807,0.221625799209241
"7",0.35,0.246655455622271,0.9,1,0.175729631177251,0.19940196179419
