"","hr","hd","coverage90","coverage95","width90","width95"
"1",0.05,0.0484702382344525,0.675,0.7,0.191987745360267,0.21303695420184
"2",0.1,0.096940476468905,0.9,0.925,0.270346294930927,0.306334362460547
"3",0.15,0.145410714703358,0.875,0.875,0.249571732630929,0.282916772465707
"4",0.2,0.19388095293781,0.85,0.9,0.222156155596923,0.25194794307234
"5",0.25,0.2,0.825,0.875,0.214189978915918,0.242313687441008
"6",0.3,0.200829885024651,0.825,0.875,0.205163477647747,0.231736475828808
"7",0.35,0.246655455622271,0.825,0.9,0.183055238155338,0.207017162826586
