"","is.cover90","is.cover95","SCB90","SCB95","hr.lower","hr.opt","hr.upper","shape"
"1",0,1,0.305356416007147,0.339590906469617,0.0940359513342269,0.156405715368955,0.183007665115438,1
"2",1,1,0.275717972142118,0.298697220375467,0.102346622677463,0.174880405489157,0.199181442659961,1
"3",0,1,0.30529767872076,0.340451097055633,0.0981781376544569,0.163287972514218,0.191068963333649,1
"4",0,0,0.308579230173937,0.340635793076831,0.0920559463540088,0.159249987544413,0.179154286878654,1
"5",1,1,0.31775128825834,0.349601037200635,0.0965813893806648,0.155070697277882,0.187961458499406,1
"6",1,1,0.289797322301693,0.322546259161389,0.0968678632803051,0.158757312688238,0.188518978455825,1
"7",0,1,0.31182356276978,0.35246618666427,0.0935587596502859,0.147153985948056,0.182078980557549,1
"8",1,1,0.288496357893738,0.316617986705393,0.0929583013333826,0.159825870795963,0.180910401168321,1
"9",1,1,0.301383196557177,0.339186884561264,0.094131543917401,0.151051942489855,0.183193702212961,1
"10",1,1,0.353334176824242,0.395705653128197,0.0937189933310747,0.152771718209665,0.18239081865115,1
"11",0,1,0.296445703054915,0.328614705007083,0.0975742498508092,0.166599326054241,0.189893709663439,1
"12",0,1,0.316702065403948,0.351213028698816,0.0936628628519241,0.162659576947512,0.182281580558852,1
"13",1,1,0.318077543493604,0.354217489195236,0.0945519137825981,0.141535249250719,0.184011803230956,1
"14",0,0,0.274605766167529,0.303873167730794,0.0930812767932871,0.142586656095133,0.181149729334456,1
"15",1,1,0.331398568363685,0.367426939828898,0.0914731957921364,0.150278264568849,0.178020169361259,1
"16",1,1,0.337967466529771,0.376318938576093,0.0975450424329362,0.17190333655311,0.189836867771874,1
"17",0,1,0.283170616728241,0.312990655891182,0.0979587082517152,0.146190127223946,0.190641921738561,1
"18",0,1,0.29474244740736,0.33064188925015,0.0977847000144504,0.156674118336244,0.190303276350697,1
"19",1,1,0.305802258189056,0.330953822462039,0.0956643353596824,0.162164878468697,0.186176737732683,1
"20",1,1,0.371130104554845,0.417018388157338,0.0923916898642786,0.153159437485748,0.179807692677397,1
"21",1,1,0.331738196176973,0.374524787731368,0.0919208675049568,0.156507420493354,0.178891403753415,1
"22",0,1,0.266206443314755,0.290551978350554,0.0957389588350824,0.165905010228359,0.186321965890659,1
"23",0,1,0.276871497690502,0.308658083019253,0.0916210541191308,0.137444281739824,0.178307923212921,1
"24",0,1,0.276293909571068,0.30589701611354,0.0973153806735911,0.158751649091662,0.189389912519678,1
"25",1,1,0.29457855408406,0.328664632815626,0.0962791504917693,0.147664758359026,0.187373257576471,1
"26",1,1,0.310973503905085,0.344247534669762,0.097567589462001,0.145601775942016,0.189880747576203,1
"27",1,1,0.314878641038422,0.373291565057223,0.0961733226587293,0.157189284907724,0.18716730119113,1
"28",1,1,0.321220401564498,0.355438981375987,0.101062742435785,0.166626474802397,0.196682824610337,1
"29",0,1,0.299687608885033,0.334543644319907,0.0939084476608946,0.152530732255592,0.182759524386078,1
"30",1,1,0.374387250792288,0.422248983283055,0.0933658085348117,0.151687846603246,0.181703469568152,1
"31",1,1,0.262362275089129,0.291012153013072,0.0943079933229743,0.156334239388833,0.183537098470104,1
"32",1,1,0.315771532550339,0.352413250982604,0.0971032442483924,0.147492079425794,0.188977064121691,1
"33",1,1,0.325547386916843,0.361777973477985,0.0981865080376663,0.156062084454805,0.191085253319187,1
"34",1,1,0.304008379338149,0.34259591607663,0.0949340971204987,0.148945858632628,0.184755587701925,1
"35",0,0,0.26088244629408,0.286125926669245,0.0954835987798996,0.142556011042526,0.185824998009761,1
"36",1,1,0.299797126062917,0.347432479130059,0.0970912595775739,0.152128183162091,0.188953740205757,1
"37",0,1,0.301749773265557,0.335454732557651,0.0955459609528349,0.156508440122853,0.185946363886306,1
"38",1,1,0.356529513376605,0.400060067761903,0.0965080906252727,0.167193419921043,0.187818808439617,1
"39",1,1,0.337530417171038,0.374125075364189,0.0974663178169052,0.163634254952012,0.189683658196573,1
"40",0,0,0.280318982040571,0.305470499141631,0.0976532304097786,0.142545205837872,0.190047417340997,1
