"","hr","hd","coverage90","coverage95","width90","width95"
"1",0.05,0.00264673963635138,0.975,0.975,2.33761588093601,2.7302376109429
"2",0.1,0.0105869585454055,1,1,0.690318325054023,0.776653018494889
"3",0.15,0.0238206567271624,0.925,0.975,0.545367778051437,0.61273001387847
"4",0.2,0.042347834181622,0.875,0.925,0.481021218681578,0.539635225917224
"5",0.25,0.0661684909087844,0.9,0.9,0.43282332887691,0.487010586111072
"6",0.3,0.0952826269086495,0.8,0.9,0.38956484564662,0.437374477023705
"7",0.35,0.129690242181217,0.875,0.9,0.351713623044918,0.397463046628921
