"","is.cover90","is.cover95","SCB90","SCB95","hr.lower","hr.opt","hr.upper","shape"
"1",0,1,0.320663479640518,0.354090803916902,0.0977641501006288,0.171794677452107,0.190263283223671,1
"2",1,1,0.316491319916516,0.34970247178486,0.0967574061382593,0.144895404309594,0.188304012760532,1
"3",1,1,0.315178396276297,0.340668646740317,0.0995807105177756,0.152758164547225,0.193798574522012,1
"4",1,1,0.333408243280548,0.373363114638872,0.0949713434191062,0.17572266358622,0.184828074426902,1
"5",1,1,0.30080229780917,0.330317625368841,0.0982135850178828,0.160570777854404,0.191137949068605,1
"6",1,1,0.335485888908061,0.367964927048802,0.0992986782579608,0.168278626227477,0.193249698643972,1
"7",1,1,0.327292667952752,0.364736567687687,0.0936997184536088,0.151573265582466,0.182353306930681,1
"8",1,1,0.313548638319052,0.342029632893315,0.0955316861541514,0.16699823914429,0.185918583047808,1
"9",1,1,0.370012822421431,0.416930187723087,0.0924230627329408,0.156799142249752,0.179868748851768,1
"10",0,1,0.294961597004694,0.321993833391883,0.0959911791424937,0.156458808553771,0.186812823364839,1
"11",1,1,0.331846530122483,0.369849337864642,0.0907812367154934,0.133650702695593,0.176673516159211,1
"12",1,1,0.31103452275272,0.349114214048513,0.0900048237715953,0.160178093200947,0.175162503424059,1
"13",1,1,0.347191722906259,0.383105392114939,0.0975868068675808,0.164549191567538,0.189918147448006,1
"14",1,1,0.380210018340157,0.418808186944169,0.0952781900269325,0.164893585653792,0.185425242642358,1
"15",1,1,0.311313049497531,0.346059436166512,0.091134152168962,0.150629587040787,0.177360341061879,1
"16",0,0,0.305724642745476,0.34026489948964,0.0927297970661082,0.151668731505597,0.180465698564375,1
"17",1,1,0.296830374057074,0.325693896078672,0.102108295678961,0.162288945997339,0.198717623589585,1
"18",1,1,0.358923589806845,0.392902795061795,0.0955736944312772,0.136170503384246,0.186000337276943,1
"19",1,1,0.321508057375511,0.356825148457846,0.098836450222524,0.154167180478071,0.192350135526718,1
"20",1,1,0.336592843707677,0.365062375306033,0.0957053782192822,0.15881874922928,0.186256613118623,1
"21",1,1,0.292667330317616,0.317253419136966,0.0916101177138558,0.159163742692295,0.178286639374498,1
"22",1,1,0.335403627398421,0.37104474873697,0.0971591468998424,0.169591501761897,0.189085858828082,1
"23",0,0,0.298970459689742,0.331303761511643,0.0963141634510957,0.152571449657001,0.187441397897744,1
"24",1,1,0.330574108344543,0.36291528521265,0.0932640146222504,0.149715058053134,0.181505363779924,1
"25",1,1,0.316723804528024,0.34515874282226,0.088387108703335,0.153873777003666,0.172014194152298,1
"26",1,1,0.29579272425934,0.322250028361935,0.0932167474570284,0.157178499778878,0.181413374988179,1
"27",1,1,0.326805654662608,0.364596120744401,0.0980451441923895,0.150644485100911,0.190810138675386,1
"28",1,1,0.343286559784446,0.382566441836753,0.0925983792418143,0.145343938091739,0.180209940326836,1
"29",1,1,0.322314796780704,0.351597189897048,0.0999327963385668,0.159131684001424,0.194483784838588,1
"30",1,1,0.34537526032243,0.383007464484386,0.0972694196950849,0.156897915542242,0.189300465757631,1
"31",1,1,0.370895137404278,0.417747161270607,0.0959983527615398,0.154478357706849,0.186826784272911,1
"32",1,1,0.306512485189868,0.335567397369621,0.0938521824084293,0.173127370529225,0.182650024005269,1
"33",1,1,0.301832333805262,0.327575908410983,0.09548985440034,0.157772518379568,0.185837172358767,1
"34",1,1,0.413765864177241,0.473576032168136,0.089886269760531,0.132944927261541,0.174931780041702,1
"35",1,1,0.31366006425126,0.346167308207946,0.0946490788930521,0.160336154261183,0.184200900695729,1
"36",1,1,0.333342825312513,0.375479084311254,0.0943615203202999,0.149204658881307,0.183641269807366,1
"37",1,1,0.337840149016443,0.367869524957743,0.0972485618907463,0.16013590397405,0.189259873430789,1
"38",1,1,0.303179582449471,0.332976776819419,0.0974859448821074,0.149913124396461,0.1897218553257,1
"39",1,1,0.329833556005543,0.364946252768367,0.100698948698319,0.168610491107664,0.195974828981722,1
"40",1,1,0.299796819375625,0.330712651980642,0.095197769107153,0.156234243259447,0.18526873181276,1
