"","hr","hd","is.cover90.hr","is.cover95.hr","is.cover90.hd","is.cover95.hd","SCB90.hr","SCB95.hr","SCB90.hd","SCB95.hd"
"1",0.05,0.0485941956670485,1,1,1,1,0.820404996151562,0.916185585159672,0.604417026587128,0.67635901016368
"2",0.1,0.097188391334097,1,1,1,1,0.556762894631483,0.615280708027186,0.489696993588696,0.542699607665657
"3",0.15,0.145782587001145,1,1,0.975,1,0.50998440361463,0.559619661782504,0.464737998030619,0.513665622430082
"4",0.2,0.194376782668194,0.975,1,0.95,1,0.461649344333759,0.510118747872274,0.425500776056413,0.471279489270789
"5",0.25,0.237126220299338,0.975,0.975,0.95,0.975,0.412939613507325,0.454791427683749,0.390502523217631,0.431208440799952
"6",0.3,0.223144316694057,0.95,0.975,0.95,0.975,0.384340069762983,0.422864059440404,0.37865696023033,0.416584231559404
"7",0.35,0.246655455622271,0.9,0.975,0.9,0.975,0.34814559404848,0.384225913813891,0.348900153145713,0.384916839913944
