"","hr","hd","is.cover90.hr","is.cover95.hr","is.cover90.hd","is.cover95.hd","SCB90.hr","SCB95.hr","SCB90.hd","SCB95.hd"
"1",0.05,0.0485941956670485,1,1,1,1,0.881504764205795,0.991968691333753,0.635556205798836,0.707979497390682
"2",0.1,0.097188391334097,1,1,1,1,0.566626681224766,0.628769695724315,0.497417989049883,0.554279679396246
"3",0.15,0.145782587001145,0.975,1,0.95,1,0.511160873365075,0.564934986187912,0.467361464154691,0.518059204287486
"4",0.2,0.194376782668194,0.95,1,0.9,1,0.454936383129544,0.502493922109298,0.419765240612183,0.466462194657274
"5",0.25,0.237126220299338,0.95,1,0.925,1,0.404951492727202,0.447121262784041,0.378673630291786,0.419089740031021
"6",0.3,0.223144316694057,0.95,1,0.925,1,0.377845911781696,0.416971078049195,0.368651338825328,0.407862943071996
"7",0.35,0.246655455622271,0.9,1,0.9,1,0.340580035959299,0.37676913598898,0.341597583384232,0.378223144450738
