"","hr","hd","is.cover90.hr","is.cover95.hr","is.cover90.hd","is.cover95.hd","SCB90.hr","SCB95.hr","SCB90.hd","SCB95.hd"
"1",0.05,0.0483025439494907,0.1,0.225,0.225,0.5,0.221314626070389,0.244630640932761,0.200706078019367,0.220999087515729
"2",0.1,0.0966050878989813,0.825,0.9,0.875,0.925,0.288127256674108,0.31441216839386,0.271663865387852,0.297827227124698
