"","hr","hd","coverage90","coverage95","width90","width95"
"1",0.05,0.0483025439494907,0.775,0.925,0.183856484267009,0.20540914964163
"2",0.1,0.0966050878989813,0.875,0.925,0.215434980738962,0.241492307117759
"3",0.15,0.144907631848472,0.85,0.95,0.191005998065288,0.214465604056007
"4",0.2,0.17099759466767,0.825,0.95,0.171539650285218,0.193046147752775
"5",0.25,0.15874010519682,0.875,0.925,0.16800186186525,0.188570289063138
"6",0.3,0.200829885024651,0.875,0.9,0.146693243505856,0.165256036141809
"7",0.35,0.246655455622271,0.875,0.925,0.129965791514873,0.14706089425821
