"","is.cover90","is.cover95","SCB90","SCB95","hr.lower","hr.opt","hr.upper","shape"
"1",1,1,0.324892825403288,0.363299746745132,0.0953031735137507,0.159811106656816,0.185473864148539,1
"2",0,1,0.407043363304342,0.462511754584626,0.0991020445426723,0.160047999426462,0.192867020778673,1
"3",1,1,0.331476382025058,0.367795818506207,0.0935848027776619,0.152430552135745,0.182129664278676,1
"4",1,1,0.372025241857549,0.403814329580482,0.0977365724895832,0.152928403540374,0.190209613173702,1
"5",1,1,0.317284930444567,0.345181220667536,0.100157537179418,0.175980476786055,0.194921163266272,1
"6",1,1,0.34868704351217,0.383989784425198,0.0949683647879296,0.158227431525431,0.184822277576558,1
"7",1,1,0.324487218960361,0.362867204465443,0.100558611733943,0.160662934713661,0.195701712797801,1
"8",1,1,0.371111775328729,0.403390219319016,0.0984810433997378,0.167477274704576,0.191658462056291,1
"9",0,1,0.325026764361895,0.351835551778456,0.0942464300027727,0.167065273963848,0.183417287277395,1
"10",0,1,0.388299346137029,0.438809890820563,0.0963483859013289,0.152453306684545,0.187507999773121,1
"11",1,1,0.39461639482161,0.457808775428543,0.0979077948598928,0.173056939161283,0.190542836858488,1
"12",1,1,0.373460065359383,0.405983400835299,0.0990162411714671,0.153364093961026,0.192700034914219,1
"13",1,1,0.359813850945745,0.399868601926336,0.097436526009524,0.162805571544764,0.189625678997862,1
"14",1,1,0.383041594599257,0.430771289040935,0.0984597473996431,0.144589928045722,0.19161701693665,1
"15",1,1,0.40778427565861,0.469293861447575,0.0985181316513617,0.172903883066135,0.191730641198806,1
"16",1,1,0.333294492466533,0.365020411265728,0.100346137537846,0.166183656933287,0.195288207048421,1
"17",1,1,0.353108198854073,0.385997088673696,0.10019854026149,0.16489416906495,0.195000961239344,1
"18",1,1,0.339853295687129,0.380794307372628,0.0994397175511018,0.171696964916481,0.19352418166202,1
"19",1,1,0.425086637450554,0.492553705245576,0.0982820778829354,0.168831051529396,0.191271246165434,1
"20",1,1,0.38490229003489,0.422867710009483,0.0975452239589613,0.167743659880274,0.189837221047972,1
"21",1,1,0.363156800211653,0.411173506944872,0.093375670259077,0.157572841094669,0.181722661920717,1
"22",0,0,0.295527857590527,0.331163896327315,0.0958942291663051,0.166698895653495,0.186624144582697,1
"23",1,1,0.376054635163053,0.419162902468229,0.097719826287325,0.160153014177843,0.190177022623691,1
"24",1,1,0.349810522477168,0.391753463258397,0.097350815800628,0.148338581976297,0.189458874440838,1
"25",0,1,0.359036221426862,0.408707567239188,0.100336996643435,0.161729338417102,0.195270417535799,1
"26",0,0,0.357666411246338,0.399661330429175,0.0981192737127947,0.167470834960023,0.190954405524958,1
"27",1,1,0.292620940758122,0.327236703257325,0.0923288693842091,0.142467731313561,0.17968543486838,1
"28",0,1,0.296223079052944,0.321009401712786,0.101660213764815,0.174835561455119,0.197845590885871,1
"29",1,1,0.310021904766435,0.336135933992128,0.103674934173717,0.170698148838787,0.20176653040594,1
"30",0,0,0.305415846886853,0.341453660659543,0.0977297389746233,0.160356827946139,0.190196314157745,1
"31",1,1,0.313982959759263,0.353361544450055,0.0994019398295075,0.169688011297267,0.193450660710466,1
"32",0,1,0.335110826801082,0.370980096502665,0.102049388265877,0.178833494888239,0.198602981179172,1
"33",1,1,0.369577962851603,0.408092174024985,0.0998474428943276,0.161034965012444,0.194317674597578,1
"34",1,1,0.378036925158074,0.412655661457979,0.0963072313006142,0.169420668012903,0.187427906922687,1
"35",1,1,0.340701907854759,0.374382899950421,0.0971575133984744,0.177395492609398,0.191623171856763,1
"36",1,1,0.375612340949592,0.415459543971793,0.0967677601573184,0.166346597870834,0.188324163190507,1
"37",0,1,0.308668761454707,0.345991364061084,0.101978388064539,0.161630789712521,0.198464804440538,1
"38",1,1,0.386405043764138,0.436636469663379,0.0983217676665675,0.161476056278414,0.191348488268357,1
"39",1,1,0.364246881687634,0.410766227680012,0.0967589409130652,0.154083562505044,0.188306999655966,1
"40",1,1,0.378413029794106,0.418505027855432,0.094229089698615,0.150099286354925,0.183383540518509,1
