"","hr","hd","is.cover90.hr","is.cover95.hr","is.cover90.hd","is.cover95.hd","SCB90.hr","SCB95.hr","SCB90.hd","SCB95.hd"
"1",0.05,0.0484702382344525,0.075,0.225,0.375,0.675,0.287123620662293,0.315672354368255,0.256681149825703,0.281847713059052
"2",0.1,0.096940476468905,0.875,0.95,0.85,0.925,0.376531286107705,0.413082624065217,0.356972275176195,0.394002740559003
"3",0.15,0.145410714703358,0.95,1,0.975,1,0.395381344756439,0.435002932474478,0.371454783335898,0.411674772546199
"4",0.2,0.19388095293781,0.95,0.975,0.95,1,0.357388961185296,0.394138045435654,0.336146919416172,0.372635404356695
"5",0.25,0.2,0.95,1,0.95,1,0.329522672966662,0.364164239740775,0.317773620602909,0.352347925696848
"6",0.3,0.200829885024651,0.925,0.975,0.9,0.975,0.30371192992485,0.334733723679465,0.299940412257992,0.331073513660929
"7",0.35,0.246655455622271,0.9,0.975,0.9,0.975,0.26932989247979,0.296986266174252,0.27003143901164,0.297681730524119
