"","is.cover90","is.cover95","SCB90","SCB95","hr.lower","hr.opt","hr.upper"
"1",1,1,0.432211740053242,0.500215266659104,0.0979212295586739,0.186202330079768,0.190568982740149
"2",1,1,0.29913895528098,0.329032224640959,0.105846143259143,0.195436155548813,0.20599201969555
"3",1,1,0.338639743182573,0.391572805660602,0.110826818193157,0.210206446972909,0.215685138948773
"4",1,1,0.325429388431279,0.361642230654209,0.111988696495017,0.194208272990066,0.217946323444222
"5",1,1,0.284581893245908,0.313672500119493,0.0922847038803859,0.169612027050701,0.17959948236172
"6",1,1,0.261209576698888,0.286637050198618,0.110108993062335,0.212025331632525,0.214288146635845
"7",0,1,0.24300493334851,0.2653328325318,0.101997222032362,0.146871447976747,0.20104195014698
"8",1,1,0.339135189664339,0.394813797400579,0.092872803148149,0.161123845385397,0.180744009240242
"9",1,1,0.298642120743638,0.333595154133759,0.102514521665349,0.192492457006967,0.199508198558236
"10",1,1,0.300964605689801,0.335070858326534,0.0913080125231295,0.162685616529095,0.177698698647685
"11",1,1,0.256951173925506,0.284027285159652,0.0958158268543049,0.182939875343354,0.18647156225801
"12",1,1,0.257027714185558,0.28071498942142,0.115251457030996,0.204303553331109,0.224296130927937
"13",1,1,0.35480642000736,0.401326291858034,0.0876950686287929,0.163901760657193,0.170667383316535
"14",1,1,0.325169027034644,0.374141798093446,0.102223820634306,0.19283794371207,0.198942451988088
"15",1,1,0.300728266378839,0.331946053053219,0.099102578912433,0.176771945030041,0.192868060740101
"16",0,1,0.299114688984028,0.334364733223101,0.102870121187819,0.187711409026967,0.200200247050328
"17",1,1,0.299788885190238,0.332985084291476,0.106142752499976,0.199565952515845,0.206569264502949
"18",1,1,0.264393943177345,0.29439937823824,0.0959924890119861,0.184817530832401,0.186815372561758
"19",1,1,0.35416496348708,0.392935030355812,0.0904298307187273,0.140157738147193,0.175989628879259
"20",0,1,0.288703493905976,0.325059875304127,0.0850956853144149,0.153401632886912,0.165608604579735
"21",1,1,0.27902292162511,0.305362654317518,0.103375994423581,0.190807476648637,0.201184750087813
"22",0,0,0.350662794693278,0.411479834719648,0.0966861620545318,0.160695578041171,0.188165361391228
"23",1,1,0.290941241538751,0.324111296248186,0.100746417163944,0.185462342199154,0.196067209533387
"24",1,1,0.331335197942683,0.378269882179115,0.0953279688951437,0.154754787602978,0.18552211957415
"25",1,1,0.373809802567107,0.432492841625733,0.103767759542721,0.17645472149551,0.201947182101423
"26",1,1,0.336416862603923,0.381999581350357,0.099126525720667,0.178925535461571,0.192914664718682
"27",1,1,0.2831309875969,0.311884843697561,0.0990498689589069,0.148330382524762,0.19276547948914
"28",1,1,0.296688786729599,0.325323598122013,0.0987826390003814,0.17093510579653,0.192245411046541
"29",1,1,0.310658588860051,0.35906112279645,0.0963754218131868,0.186899725692249,0.190101107657921
"30",1,1,0.285430620259185,0.320901784048224,0.103419269335923,0.191007504429354,0.201268969373665
"31",1,1,0.299543716460267,0.336089400438113,0.0884427271621868,0.154411003627626,0.174662927838871
"32",1,1,0.274502942329904,0.30160445470627,0.0929012327858472,0.138469220638093,0.180799337458242
"33",1,1,0.357535379128011,0.41157854231293,0.113092111114513,0.217296784806677,0.220093729093903
"34",1,1,0.358071653864348,0.420638276019053,0.0994607746563037,0.18560943250497,0.193565161857386
"35",1,1,0.266456556943519,0.295944536159849,0.094888989804737,0.168640816294326,0.184667802291983
"36",1,1,0.287864227018053,0.317770893404509,0.108889486056106,0.198227833059473,0.211914808283486
"37",1,1,0.317715372444016,0.353436392634833,0.103163886976957,0.182451657935906,0.200771958086354
"38",1,1,0.300774880160813,0.330016006291417,0.106342075213183,0.201397034289849,0.206957175550065
"39",1,1,0.31863546151476,0.352578409533877,0.0968807712294981,0.178629303392872,0.188544099206025
"40",1,1,0.369183072869636,0.414693540792498,0.0923016469532388,0.170431242303272,0.179632456050599
