"","hr","hd","coverage90","coverage95","width90","width95"
"1",0.05,0.0483025439494907,0.875,0.925,0.264432120129456,0.295036777859441
"2",0.1,0.0966050878989813,0.975,1,0.313323440548293,0.355407034522647
"3",0.15,0.144907631848472,0.975,0.975,0.277758221489008,0.315467062161911
"4",0.2,0.17099759466767,0.9,0.95,0.253401541625259,0.287546087250309
"5",0.25,0.15874010519682,0.925,0.925,0.245907626689881,0.278929991328868
"6",0.3,0.200829885024651,0.875,0.925,0.21831008662321,0.24791482012995
"7",0.35,0.246655455622271,0.925,0.95,0.196542628689664,0.224139251346342
