"","hr","hd","coverage90","coverage95","width90","width95"
"1",0.05,0.0483025439494907,0.925,1,0.265511107788448,0.297942740841568
"2",0.1,0.0966050878989813,0.925,0.975,0.295066030433747,0.333201502250823
"3",0.15,0.144907631848472,0.825,0.875,0.264760498436123,0.298431473039219
"4",0.2,0.17099759466767,0.8,0.825,0.250422063983038,0.283795091576666
"5",0.25,0.15874010519682,0.775,0.85,0.245672334701775,0.277935420926686
"6",0.3,0.200829885024651,0.775,0.825,0.217252483887466,0.247030523454566
"7",0.35,0.246655455622271,0.75,0.85,0.193683797305507,0.220571728355311
