"","is.cover90","is.cover95","SCB90","SCB95","hr.lower","hr.opt","hr.upper"
"1",1,1,0.2640878807876,0.305453028899449,0.0947548033532434,0.17649455155539,0.184406655902442
"2",1,1,0.26098323175876,0.291519666826823,0.104606860381118,0.201943291724838,0.203580194614749
"3",1,1,0.318041673983279,0.355821385611918,0.0943928694757097,0.161250520361558,0.183702279832292
"4",1,1,0.260367916192518,0.29338246966164,0.0956082789942783,0.175059897060128,0.186067643876537
"5",1,1,0.225313906665717,0.253414144570553,0.098593099729389,0.135152819961212,0.191876540003713
"6",1,1,0.253315188013477,0.280153233542327,0.0989763000210075,0.182488665708405,0.192622303614818
"7",1,1,0.223874839628312,0.245686330649878,0.103650651125425,0.159607372179886,0.201719272055205
"8",1,1,0.220352844054154,0.244321229936632,0.106856716849952,0.175848499141666,0.207958743173722
"9",0,1,0.23069887241375,0.255813378031057,0.102952571969933,0.198740712522791,0.20036070828784
"10",1,1,0.270951824003401,0.31294702211241,0.0987792063920422,0.184250914232956,0.192238730690481
"11",1,1,0.266957621551167,0.300188130317282,0.0999674585976098,0.187345340275255,0.194551242646002
"12",1,1,0.295744433110667,0.332197063290156,0.098503564376515,0.139149100927491,0.191702291159072
"13",1,1,0.216451051886295,0.23991597667105,0.086255465057149,0.14482080349195,0.167865704973302
"14",1,1,0.29109278263822,0.320701330999652,0.104992979461114,0.197907246705891,0.204331638613391
"15",0,1,0.193677233481371,0.221504084980726,0.0863408148766256,0.144908374373259,0.168031808159996
"16",1,1,0.210501225921634,0.235733164746394,0.0968385180383802,0.174861376563209,0.18846186833857
"17",1,1,0.232982868423596,0.26083260378513,0.0962030787263475,0.174954410007518,0.187225210835054
"18",1,1,0.260051863285549,0.286917900319737,0.118470415740203,0.225352314347206,0.230560693673532
"19",1,1,0.282486757207203,0.314623482991042,0.101887079485052,0.198287104638496,0.198287104638496
"20",0,1,0.256181317114304,0.292388730994079,0.108874103770815,0.170078134871412,0.211884872114657
"21",1,1,0.294783259701045,0.334593416575433,0.0949518162213474,0.15886426203029,0.184790071654374
"22",0,1,0.287687604400679,0.324400785441738,0.103758023205868,0.190399080823462,0.201928233771033
"23",1,1,0.226421881746752,0.256380469977574,0.0873906329762947,0.151767330775446,0.170074907171496
"24",0,0,0.217409393614691,0.239643349958796,0.100983621683773,0.152052529061675,0.196528844096688
"25",1,1,0.254935313766515,0.276139491450836,0.0932561690025973,0.171351690875468,0.181490095060741
"26",1,1,0.212965811584821,0.235756868158099,0.091853620323799,0.17132152524425,0.178760530938979
"27",1,1,0.222744272495335,0.249197544606621,0.0900315631987802,0.144103845437882,0.175214542246086
"28",0,1,0.214372776044533,0.23609129101329,0.104991479646874,0.177215519598952,0.204328719756313
"29",1,1,0.251665853601564,0.28523924232524,0.106349386772168,0.201814934266842,0.206971404909361
"30",1,1,0.246622483985958,0.277542193997415,0.0954508932051594,0.175020962081454,0.185761348195147
"31",1,1,0.281363141114225,0.32740320107672,0.081925762392116,0.144394726508754,0.159439472621427
"32",1,1,0.223224692697207,0.246628812117697,0.10192438777055,0.18781871636219,0.198359711998996
"33",1,1,0.22705637620303,0.244724205591767,0.0891630896732413,0.163908095041753,0.173524366203111
"34",0,1,0.222941579305665,0.250671856135221,0.0915762120941658,0.172722028271171,0.17822065409753
"35",1,1,0.22945789000838,0.254772615591959,0.100045774704095,0.177473346506909,0.194703657202195
"36",1,1,0.224043693835006,0.24751449698078,0.0979368506674749,0.187610816161751,0.190599383694333
"37",1,1,0.253232375061867,0.281115814070185,0.0977269317269128,0.173157999902545,0.190190850844601
"38",0,1,0.225834825779002,0.250632019328322,0.096202611963585,0.17776074789452,0.187224302446697
"39",0,1,0.2627596884218,0.29174598982038,0.106168726547669,0.188773585645171,0.206619813784948
"40",1,1,0.252310943407043,0.277722308033302,0.0904223350428643,0.143908331379961,0.175975041201687
